iter	Logloss
0	0.6863881604
1	0.6800270448
2	0.6749189926
3	0.669998738
4	0.6652259117
5	0.6601707851
6	0.6554422793
7	0.650800672
8	0.6471782592
9	0.6435734231
10	0.6403422831
11	0.6366820449
12	0.633901824
13	0.6310974938
14	0.6286460017
15	0.6253174313
16	0.6226448472
17	0.6196889946
18	0.6168855573
19	0.614546385
20	0.6124650119
21	0.6098955563
22	0.6077197792
23	0.6052907165
24	0.6035535763
25	0.6015138195
26	0.5994328648
27	0.5979683285
28	0.5962361056
29	0.5940587466
30	0.5925699433
31	0.5910147586
32	0.5887555746
33	0.5866119424
34	0.5850709039
35	0.5827563193
36	0.5818443133
37	0.5807181252
38	0.5794676637
39	0.5774939942
40	0.5761296039
41	0.5752516981
42	0.5740379371
43	0.572879089
44	0.5714943281
45	0.570194591
46	0.5693647361
47	0.5681711249
48	0.5671335638
49	0.5664562105
50	0.5653548242
51	0.5643447443
52	0.5631857552
53	0.5621915007
54	0.5609956255
55	0.5599189877
56	0.5587318791
57	0.5574197528
58	0.5567079679
59	0.5559436191
60	0.5550610708
61	0.5543317378
62	0.5537143533
63	0.5529754539
64	0.5521281319
65	0.5509053838
66	0.5497468768
67	0.5484536734
68	0.5473802613
69	0.5467713501
70	0.5460777623
71	0.5449966708
72	0.5443408706
73	0.5435014133
74	0.542644512
75	0.5420337957
76	0.54142329
77	0.5407653569
78	0.5399472023
79	0.5393672721
80	0.5385591428
81	0.5376732023
82	0.5368165796
83	0.5361578484
84	0.5353354979
85	0.5347508658
86	0.5341029099
87	0.5332687323
88	0.5321430033
89	0.531452444
90	0.5308786838
91	0.5302438903
92	0.5298903951
93	0.5292697533
94	0.5288057476
95	0.5283404679
96	0.5275489752
97	0.5268418149
98	0.5263017841
99	0.5257086629
100	0.5249606598
101	0.5244351334
102	0.5238876183
103	0.5233671537
104	0.5227522682
105	0.5222966854
106	0.5217945096
107	0.521285021
108	0.5209831671
109	0.5202550278
110	0.5198302531
111	0.5193177315
112	0.5186228825
113	0.5179554053
114	0.5171932549
115	0.5165430063
116	0.5160935763
117	0.5155475741
118	0.5147981923
119	0.5140301518
120	0.513779949
121	0.513324892
122	0.5127174479
123	0.5121098589
124	0.5115859569
125	0.5109347134
126	0.5104601929
127	0.5100141944
128	0.5095985472
129	0.5090639812
130	0.5083189586
131	0.5079166299
132	0.5074874834
133	0.5070076703
134	0.5065037658
135	0.5059667
136	0.5054236319
137	0.5049937194
138	0.5044557865
139	0.5038493446
140	0.503373104
141	0.5029195241
142	0.5025340979
143	0.5020689996
144	0.5014563517
145	0.5012292656
146	0.5008247735
147	0.5004762136
148	0.5000376908
149	0.4995846968
150	0.4989391055
151	0.4986018599
152	0.4981587303
153	0.4975309952
154	0.4967936323
155	0.4964891869
156	0.49609001
157	0.4954714443
158	0.4950712869
159	0.4943443415
160	0.4936185662
161	0.4931682526
162	0.4925926239
163	0.4919775359
164	0.4915673534
165	0.4909370648
166	0.4904935325
167	0.490052623
168	0.4896919631
169	0.4892607405
170	0.4888878129
171	0.4880872963
172	0.4878040952
173	0.4873354124
174	0.4869528733
175	0.4865938481
176	0.4861145339
177	0.4855630697
178	0.4849833167
179	0.4845621765
180	0.4839853398
181	0.4834558152
182	0.483042933
183	0.482523215
184	0.4820822214
185	0.4814850512
186	0.4809469251
187	0.480466539
188	0.4798957393
189	0.4792688835
190	0.4785279767
191	0.4779468841
192	0.4772639315
193	0.4769117978
194	0.4763657128
195	0.4758281162
196	0.4753495226
197	0.4747307201
198	0.4740692739
199	0.4733846582
200	0.472787173
201	0.4723959713
202	0.4719146897
203	0.4711933131
204	0.4707063938
205	0.4700479711
206	0.4695471325
207	0.4691360265
208	0.4686597644
209	0.4679151991
210	0.4672852997
211	0.4669215564
212	0.4662909196
213	0.4657316379
214	0.4650649981
215	0.464447095
216	0.4638719863
217	0.4634218108
218	0.4629394811
219	0.46235891
220	0.4618448018
221	0.4612522804
222	0.4606599163
223	0.4599987939
224	0.4596287673
225	0.4588852029
226	0.4581533128
227	0.4577993416
228	0.4572708447
229	0.4567135064
230	0.4560013698
231	0.455297496
232	0.4549030762
233	0.4545386649
234	0.4540284295
235	0.4533535597
236	0.4527588963
237	0.4522927344
238	0.4515668625
239	0.4508548067
240	0.4504520613
241	0.4497534013
242	0.4492143801
243	0.4488015969
244	0.4481570265
245	0.447485578
246	0.4468229532
247	0.4464596404
248	0.44601867
249	0.4453337895
250	0.4449006277
251	0.4443284577
252	0.4438566478
253	0.4432625244
254	0.442610686
255	0.4422455973
256	0.4415635591
257	0.4410217786
258	0.4405100843
259	0.4399389777
260	0.439555162
261	0.4390953446
262	0.43867858
263	0.4378771161
264	0.4373979616
265	0.4366929235
266	0.4362161594
267	0.4356713044
268	0.435228755
269	0.4347927531
270	0.4342522906
271	0.4335231175
272	0.4331929075
273	0.4328480442
274	0.4324752534
275	0.4318700199
276	0.4315048377
277	0.4309286917
278	0.4305188285
279	0.4300815716
280	0.4295188435
281	0.4288959163
282	0.4284640912
283	0.427895731
284	0.4274096107
285	0.4269568685
286	0.4265153514
287	0.4260119852
288	0.4255033303
289	0.4249112308
290	0.4244912742
291	0.4241106811
292	0.4235336646
293	0.4230181186
294	0.4225605239
295	0.4220363711
296	0.4215785728
297	0.4211131382
298	0.4207941633
299	0.4202936877
300	0.4199456751
301	0.4195613203
302	0.4192270434
303	0.4187662892
304	0.4181260053
305	0.4176425748
306	0.4170598006
307	0.4165641569
308	0.4161087231
309	0.4156230052
310	0.4152767302
311	0.414971707
312	0.4142384159
313	0.4138346225
314	0.4133407558
315	0.4129774899
316	0.4125021298
317	0.4121130194
318	0.4117264406
319	0.4111050118
320	0.4106993565
321	0.4102219648
322	0.4097398822
323	0.4092185774
324	0.408995364
325	0.408405195
326	0.4077950732
327	0.4073895502
328	0.4069696628
329	0.4066477771
330	0.4063450828
331	0.4059411587
332	0.4054393488
333	0.4048475569
334	0.4043943913
335	0.4038716504
336	0.4033018224
337	0.4029026841
338	0.402431794
339	0.4021242963
340	0.4016952403
341	0.401335726
342	0.4008670755
343	0.4005334165
344	0.4002685084
345	0.3998860335
346	0.3995667708
347	0.3991967415
348	0.3987881677
349	0.3984008954
350	0.3978871496
351	0.3973940624
352	0.3970847907
353	0.3966935111
354	0.3963770906
355	0.3959388923
356	0.395654663
357	0.3952750263
358	0.3948563388
359	0.3944073981
360	0.393972899
361	0.3933571919
362	0.3930702108
363	0.3927936237
364	0.3924400722
365	0.3921169934
366	0.3917166548
367	0.3912149494
368	0.3908987588
369	0.3904964581
370	0.3901725033
371	0.3897527027
372	0.3893458305
373	0.3890446954
374	0.3886696925
375	0.3883537127
376	0.3881050584
377	0.3878301303
378	0.387254193
379	0.3868244372
380	0.386204188
381	0.3858923986
382	0.385504495
383	0.3851392257
384	0.3846794276
385	0.3843656885
386	0.3840237435
387	0.3835321023
388	0.3832439956
389	0.382735254
390	0.3822433561
391	0.3818425416
392	0.3813903866
393	0.3810818907
394	0.3806032823
395	0.3801631893
396	0.3798919442
397	0.3795297337
398	0.379279954
399	0.3790255494
400	0.3786964385
401	0.3782691789
402	0.3778681275
403	0.3773265461
404	0.3769099478
405	0.376434708
406	0.3761704954
407	0.3757308479
408	0.3754540256
409	0.3751369382
410	0.3748860899
411	0.3745469579
412	0.3743882164
413	0.3737890301
414	0.3733910028
415	0.3729774528
416	0.3728502485
417	0.3725507207
418	0.372059077
419	0.3717706383
420	0.3714026842
421	0.3711205425
422	0.3704924254
423	0.3700831109
424	0.3696789872
425	0.3692816206
426	0.368810407
427	0.3685244075
428	0.3682947892
429	0.3678235795
430	0.3674636783
431	0.3670404923
432	0.3666441319
433	0.366356465
434	0.3660682664
435	0.3658536217
436	0.3654731085
437	0.3653022493
438	0.3648148461
439	0.364400235
440	0.3640094428
441	0.3636568473
442	0.3633301832
443	0.3629610838
444	0.3626444076
445	0.3622260255
446	0.3619336935
447	0.361510152
448	0.3612583438
449	0.3609162774
450	0.360659896
451	0.3603238582
452	0.3598349721
453	0.3594773721
454	0.3592241394
455	0.3589397648
456	0.3585121589
457	0.3582876653
458	0.3579909206
459	0.3576368756
460	0.3573306051
461	0.3570503863
462	0.356748217
463	0.3563204833
464	0.3560250042
465	0.3556506698
466	0.3553438119
467	0.3549956885
468	0.3546284512
469	0.3543320629
470	0.3538972958
471	0.3535092156
472	0.3531500123
473	0.3528947878
474	0.3525487917
475	0.3520960286
476	0.351849421
477	0.3516466603
478	0.351473747
479	0.3510505975
480	0.3508068157
481	0.3503479401
482	0.350093123
483	0.3497109518
484	0.3494141894
485	0.3492422915
486	0.3488004817
487	0.3485116423
488	0.3484846056
489	0.3484042299
490	0.3481428282
491	0.3480080512
492	0.347799612
493	0.3475084529
494	0.3473190216
495	0.3470899413
496	0.3467836309
497	0.3465939354
498	0.346221442
499	0.3459731647
500	0.3454728842
501	0.3454115024
502	0.3450380546
503	0.3447834738
504	0.3443690659
505	0.3440671521
506	0.3440051594
507	0.3437068597
508	0.3432360378
509	0.3429152493
510	0.3426548695
511	0.3423225433
512	0.3420105528
513	0.3417818111
514	0.3414987291
515	0.3412821265
516	0.34104822
517	0.3408316745
518	0.340512909
519	0.3402342145
520	0.3399963264
521	0.3395734476
522	0.3392270365
523	0.3390045062
524	0.3386197909
525	0.3382853694
526	0.3380626654
527	0.3378283288
528	0.3375806668
529	0.3372747478
530	0.3370184567
531	0.3366971897
532	0.3362582999
533	0.3359204466
534	0.3356262715
535	0.3354174848
536	0.3350826633
537	0.3347161625
538	0.3344489203
539	0.3342225617
540	0.3339517015
541	0.3336596119
542	0.3333088888
543	0.3332992246
544	0.3330232905
545	0.3327357357
546	0.3324938087
547	0.3321981632
548	0.3319458372
549	0.3317232238
550	0.3314445266
551	0.3312055769
552	0.3309768493
553	0.3306348179
554	0.3303753457
555	0.3300837947
556	0.3298716944
557	0.3296064577
558	0.3292037424
559	0.3288180207
560	0.3285207746
561	0.3283253756
562	0.3281724018
563	0.3278966023
564	0.3276541885
565	0.327299241
566	0.3269798105
567	0.326691963
568	0.326663935
569	0.3264327
570	0.3262274743
571	0.3260034488
572	0.3259741811
573	0.3257146592
574	0.325264609
575	0.3249615561
576	0.3246831173
577	0.3244550139
578	0.3240512072
579	0.3238124088
580	0.3234354856
581	0.3231706498
582	0.3229178703
583	0.3226071797
584	0.3222297735
585	0.3218633576
586	0.3215933236
587	0.3213812692
588	0.3211350426
589	0.3209448077
590	0.3205345518
591	0.3203606926
592	0.3201970187
593	0.319775395
594	0.3195898082
595	0.3194147139
596	0.3191097432
597	0.318822505
598	0.3186629231
599	0.3183747155
600	0.3182026907
601	0.3180551716
602	0.3177466654
603	0.3174515474
604	0.3170622889
605	0.3166418628
606	0.3164341565
607	0.316154859
608	0.3160107838
609	0.3156498049
610	0.3154375085
611	0.315085025
612	0.3146403306
613	0.3144579685
614	0.3141112961
615	0.3137862268
616	0.3134551986
617	0.3131038623
618	0.3128631218
619	0.312630619
620	0.3123085608
621	0.3120301205
622	0.3116143765
623	0.3114693941
624	0.311027909
625	0.3107919006
626	0.3105325605
627	0.3102291514
628	0.3099138369
629	0.309623951
630	0.3092596633
631	0.3090782652
632	0.30888264
633	0.3085247266
634	0.3083330873
635	0.3080448125
636	0.3075542614
637	0.3073097975
638	0.3069821765
639	0.306535
640	0.3061570291
641	0.3059820384
642	0.3057443533
643	0.3055461218
644	0.3053940584
645	0.3051896425
646	0.3047518866
647	0.3044173311
648	0.3040567604
649	0.3037833241
650	0.3035931747
651	0.3033586939
652	0.3031029985
653	0.3028337362
654	0.3023970971
