iter	Passed	Remaining
0	4	4843
1	9	4630
2	14	4657
3	18	4629
4	23	4714
5	28	4714
6	33	4686
7	37	4615
8	41	4527
9	45	4491
10	49	4478
11	54	4487
12	59	4517
13	64	4529
14	70	4603
15	74	4590
16	79	4590
17	84	4602
18	89	4603
19	93	4605
20	98	4592
21	103	4586
22	108	4591
23	112	4591
24	118	4613
25	123	4629
26	128	4628
27	133	4622
28	138	4641
29	144	4658
30	149	4661
31	154	4674
32	159	4677
33	164	4677
34	169	4682
35	174	4680
36	179	4684
37	198	5024
38	205	5057
39	211	5074
40	216	5073
41	221	5053
42	226	5030
43	230	5006
44	235	4987
45	239	4972
46	244	4961
47	249	4947
48	254	4935
49	259	4922
50	264	4912
51	268	4898
52	273	4890
53	278	4887
54	283	4876
55	288	4868
56	293	4856
57	298	4847
58	303	4843
59	308	4833
60	313	4820
61	318	4811
62	322	4802
63	327	4794
64	333	4790
65	338	4783
66	342	4771
67	347	4764
68	352	4760
69	358	4759
70	363	4755
71	368	4745
72	373	4738
73	378	4736
74	384	4737
75	389	4736
76	394	4728
77	399	4720
78	404	4716
79	409	4708
80	414	4699
81	419	4695
82	424	4691
83	429	4684
84	434	4679
85	439	4673
86	444	4668
87	449	4661
88	454	4652
89	460	4651
90	465	4645
91	469	4638
92	474	4628
93	479	4621
94	484	4612
95	488	4603
96	493	4596
97	498	4589
98	503	4581
99	508	4574
100	513	4572
101	518	4566
102	523	4558
103	528	4551
104	533	4544
105	538	4538
106	542	4531
107	547	4526
108	553	4521
109	558	4516
110	563	4509
111	567	4500
112	572	4494
113	577	4488
114	582	4485
115	587	4478
116	592	4472
117	597	4467
118	602	4459
119	607	4452
120	612	4446
121	616	4438
122	621	4431
123	626	4425
124	631	4418
125	635	4411
126	640	4406
127	645	4399
128	650	4392
129	655	4387
130	660	4383
131	665	4377
132	670	4370
133	675	4364
134	680	4358
135	685	4352
136	690	4347
137	695	4344
138	700	4341
139	706	4338
140	711	4333
141	716	4328
142	721	4323
143	726	4318
144	731	4315
145	736	4308
146	741	4303
147	746	4298
148	751	4292
149	756	4286
150	761	4282
151	767	4280
152	772	4278
153	777	4273
154	782	4268
155	788	4263
156	793	4259
157	798	4253
158	803	4247
159	808	4242
160	813	4238
161	819	4236
162	823	4231
163	829	4228
164	834	4224
165	839	4218
166	844	4212
167	849	4206
168	854	4201
169	859	4194
170	863	4187
171	869	4184
172	874	4178
173	879	4172
174	883	4166
175	888	4160
176	894	4156
177	899	4152
178	904	4146
179	909	4141
180	914	4136
181	918	4130
182	923	4124
183	928	4118
184	933	4113
185	938	4109
186	944	4104
187	949	4099
188	954	4093
189	959	4089
190	964	4083
191	969	4078
192	974	4075
193	979	4070
194	984	4064
195	989	4060
196	995	4056
197	1000	4052
198	1005	4048
199	1010	4043
200	1016	4040
201	1022	4037
202	1027	4035
203	1033	4031
204	1038	4026
205	1043	4020
206	1048	4015
207	1052	4008
208	1057	4003
209	1062	3997
210	1067	3992
211	1072	3987
212	1077	3982
213	1082	3977
214	1087	3972
215	1093	3968
216	1098	3962
217	1103	3959
218	1109	3955
219	1114	3952
220	1120	3950
221	1126	3947
222	1132	3946
223	1138	3944
224	1144	3942
225	1150	3940
226	1156	3937
227	1161	3933
228	1167	3929
229	1171	3923
230	1177	3918
231	1181	3912
232	1186	3906
233	1191	3900
234	1196	3895
235	1202	3891
236	1207	3886
237	1211	3879
238	1216	3874
239	1223	3874
240	1232	3882
241	1245	3901
242	1255	3910
243	1262	3912
244	1269	3911
245	1276	3913
246	1282	3910
247	1288	3905
248	1293	3901
249	1298	3895
250	1303	3888
251	1308	3883
252	1313	3877
253	1318	3871
254	1323	3865
255	1327	3859
256	1332	3853
257	1337	3847
258	1342	3841
259	1347	3835
260	1352	3829
261	1357	3822
262	1361	3816
263	1367	3811
264	1371	3805
265	1377	3800
266	1382	3794
267	1387	3788
268	1392	3783
269	1397	3778
270	1403	3774
271	1408	3769
272	1413	3764
273	1418	3758
274	1423	3753
275	1429	3748
276	1433	3742
277	1438	3736
278	1443	3730
279	1448	3725
280	1453	3719
281	1458	3714
282	1463	3708
283	1468	3702
284	1473	3696
285	1478	3691
286	1483	3686
287	1488	3680
288	1493	3675
289	1499	3670
290	1504	3665
291	1509	3659
292	1515	3655
293	1520	3650
294	1525	3645
295	1530	3640
296	1536	3636
297	1541	3630
298	1546	3624
299	1550	3618
300	1555	3612
301	1560	3606
302	1565	3600
303	1570	3595
304	1575	3590
305	1580	3584
306	1585	3579
307	1590	3573
308	1595	3568
309	1600	3562
310	1605	3557
311	1610	3551
312	1615	3546
313	1621	3541
314	1626	3536
315	1631	3530
316	1635	3524
317	1640	3518
318	1645	3512
319	1650	3507
320	1656	3504
321	1661	3499
322	1667	3494
323	1672	3489
324	1677	3483
325	1682	3478
326	1687	3474
327	1693	3468
328	1698	3463
329	1703	3458
330	1708	3452
331	1713	3447
332	1718	3442
333	1724	3438
334	1729	3432
335	1734	3426
336	1740	3423
337	1746	3419
338	1750	3414
339	1755	3408
340	1761	3403
341	1766	3398
342	1772	3394
343	1778	3390
344	1784	3387
345	1791	3385
346	1796	3381
347	1802	3377
348	1808	3372
349	1814	3369
350	1819	3364
351	1825	3360
352	1832	3357
353	1838	3354
354	1844	3350
355	1849	3346
356	1855	3341
357	1861	3337
358	1867	3333
359	1872	3329
360	1878	3325
361	1884	3321
362	1890	3317
363	1896	3314
364	1902	3310
365	1908	3306
366	1914	3302
367	1920	3298
368	1926	3294
369	1932	3290
370	1938	3286
371	1944	3282
372	1949	3277
373	1955	3273
374	1962	3270
375	1967	3265
376	1973	3261
377	1978	3256
378	1984	3252
379	1990	3247
